date,dailyTotal_0,dailyTotal_1,dailyTotal_2,dailyTotal_3,dailyTotal_4,253230_Compiled_0.csv
2020-05-12,0.27,0.30000000000000004,0.19,0.14,,0.9
2020-05-13,0.31,0.31,0.23,7.64,,8.49
2020-05-14,0.5599999999999999,1.06,0.5,0.16999999999999998,,2.29
2020-05-15,0.27,0.32,0.12,6.7799999999999985,,7.489999999999998
2020-05-16,0.21,0.28,0.25,,,0.74
2020-05-17,0.35,0.28,0.57,2.12,,3.3200000000000003
2020-05-18,0.29,0.17,0.16,,,0.62
2020-05-19,0.21,0.6300000000000001,0.12,4.52,,5.4799999999999995
2020-05-20,0.47,0.1,0.74,6.8,,8.11
2020-05-21,0.24,0.12,0.39,,,0.75
2020-05-22,0.32,0.29000000000000004,0.5700000000000001,1.11,,2.29
2020-05-23,0.37,0.23,0.19,2.89,,3.68
2020-05-24,0.2,0.19,0.14,0.06,,0.5900000000000001
2020-05-25,0.47,0.39,0.31,19.42,,20.590000000000003
2020-05-26,0.51,0.4,0.33,0.09,,1.33
2020-05-27,0.39,0.35,0.18000000000000002,0.3,,1.22
2020-05-28,0.49,0.49,0.18,0.92,,2.08
2020-05-29,0.03,0.21,0.18,,,0.42
2020-05-30,0.58,0.26,0.48,1.15,,2.4699999999999998
2020-05-31,0.4300000000000001,0.4300000000000001,0.41,0.24,,1.5100000000000002
2020-06-01,0.4500000000000001,0.12,0.09,1.06,,1.7200000000000002
2020-06-02,0.42,0.5,0.22,0.4,,1.54
2020-06-03,0.35,0.4,0.2,0.8400000000000001,,1.79
2020-06-04,0.42,1.9100000000000004,0.4,1.04,,3.7700000000000005
2020-06-05,0.53,0.52,10.39,5.98,,17.42
2020-06-06,0.12,0.15,0.12,0.31000000000000005,,0.7000000000000001
2020-06-07,0.65,1.4,1.39,0.99,,4.43
2020-06-08,0.19,0.35,0.49,0.2,,1.23
2020-06-09,0.49,0.27,0.21,1.67,,2.6399999999999997
2020-06-10,0.22,1.14,0.6,1.5399999999999998,,3.5
2020-06-11,1.2,0.22,0.07,30.66,,32.15
2020-06-12,0.31,0.24,0.32,4.750000000000001,,5.620000000000001
2020-06-13,0.51,0.44,0.15,0.5,,1.5999999999999999
2020-06-14,0.11,0.18,0.17,1.8000000000000005,,2.2600000000000007
2020-06-15,0.27,0.21,0.24,,,0.72
2020-06-16,0.18,0.28,0.31,4.53,,5.300000000000001
2020-06-17,0.09,0.11,0.18,0.45,,0.8300000000000001
2020-06-18,0.48,0.3,0.25,0.19,,1.22
2020-06-19,0.37,0.6,0.32,28.66,,29.95
2020-06-20,0.29,0.23,0.38,,,0.9
2020-06-21,0.25,0.11,0.26,,,0.62
2020-06-22,0.48,0.27,0.48,0.5,,1.73
2020-06-23,0.32,0.06,0.27,2.76,,3.4099999999999997
2020-06-24,0.48,0.12,0.29000000000000004,0.24,,1.13
2020-06-25,0.76,0.8,0.71,5.530000000000001,,7.800000000000001
2020-06-26,0.35,0.5800000000000001,0.55,7.489999999999998,,8.969999999999999
2020-06-27,0.7399999999999999,0.8500000000000001,1.0,,,2.59
2020-06-28,0.4799999999999999,0.30000000000000004,0.77,5.7,,7.25
2020-06-29,0.73,0.55,0.8,0.7999999999999999,,2.88
2020-06-30,0.47,0.39,0.35000000000000003,0.6300000000000001,,1.84
